cep,rua,bairro,id_cidade,id_bairro,nome_cidade,id_estado,nome_estado,sigla_estado,cidade_counts,latitude,longitude
38180025,Rua Josefina de Paiva Abreu,Alvorada,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182618,Rua I,Veredas do Belvedere,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180083,Travessa Piauí,São Geraldo,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181774,Rua Dez,Jardim Europa,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180660,Rua Cinqüenta,Conjunto Habitacional Boa Vista,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181432,Rua Joaquim Geraldo Filho,Orozino Teixeira,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183178,Rua José Jorge Rage,Doutor Pedro Pezzuti,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183400,Rua Francisco Firmino Filho,Dona Beja,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180238,Rua Emirene Martins de Ávila,Santa Mônica,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38184516,Travessa Colombo,Barreiro,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182539,Rua Tomás dos Reis Jerônimo,Parque das Mangabeiras,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180470,Rua Carmelita Feliciano dos Santos,Loteamento Max Newmann,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183309,Rua Sílvia Borges Teotônio,Leda Barcelos,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38184834,Rua Helena Aparecida Silva,Loteamento Novo Pão de Açúcar,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182258,Rua Alzira Carneiro de Paiva,Novo Santo Antônio,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181721,Rua Vital de Azevedo,Pedra Azul,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181712,Rua Carlos Moura Júnior,Pedra Azul,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183182,Rua João Evangelista dos Santos,Doutor Pedro Pezzuti,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181349,Rua Três,Loteamento Nosso Lar,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183392,Rua Modestina Magalhães de Oliveira,Vila Silvéria,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182229,Rua José Rosa de Oliveira,Veredas da Cidade,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181467,Rua José Garcia da Cunha,Orozino Teixeira,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180545,Rua dos Jequitibás,Monte Verde,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182650,Rua Francisco Dionísio da Silva,Loteamento Dona Adélia,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182624,Rua L,Veredas do Belvedere,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180065,Rua A,São Geraldo,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180578,Rua Magda da Conceição Silva,Residencial Camuá,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38184494,Rua Domingos Pereira de Almeida,Loteamento Residencial Villágio I,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181801,Rua Professora Elenice dos Santos,Residencial Jardim das Oliveiras,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183307,Praça Ana Maria Vaz,Leda Barcelos,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181404,Rua Carlos de Ávila Júnior,Morada do Sol,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
